,Invoice_ID,Branch,Customer_type,Gender,Product_line,Unit_price,Quantity,Date,Time,Payment,Rating,Tax_5%,Total,City
0,750-67-8428,A,Normal,Male,Health and beauty,74.69,7,2019-01-05,13:08:00,Ewallet,9.1,26.141499999999997,548.9714999999999,Yangon
2,631-41-3108,A,Normal,Male,Home and lifestyle,46.33,7,2019-03-03,13:23:00,Credit card,7.4,16.215500000000002,340.5255,Yangon
3,123-19-1176,A,Normal,Male,Health and beauty,58.22,8,2019-01-27,20:30:00,Ewallet,8.4,23.288,489.048,Yangon
4,373-73-7910,A,Normal,Male,Sports and travel,86.31,7,2019-02-08,10:37:00,Ewallet,5.3,30.208500000000004,634.3785,Yangon
6,355-53-5943,A,Normal,Male,Electronic accessories,68.84,6,2019-02-25,14:36:00,Ewallet,5.8,20.652,433.692,Yangon
8,665-32-9167,A,Normal,Male,Health and beauty,36.26,2,2019-01-10,17:15:00,Credit card,7.2,3.626,76.146,Yangon
12,365-64-0515,A,Normal,Male,Electronic accessories,46.95,5,2019-02-12,10:25:00,Ewallet,7.1,11.7375,246.4875,Yangon
13,252-56-2699,A,Normal,Male,Food and beverages,43.19,10,2019-02-07,16:48:00,Ewallet,8.2,21.595,453.495,Yangon
14,829-34-3910,A,Normal,Male,Health and beauty,71.38,10,2019-03-29,19:21:00,Cash,5.7,35.69,749.49,Yangon
16,656-95-9349,A,Normal,Male,Health and beauty,68.93,7,2019-03-11,11:03:00,Credit card,4.6,24.125500000000002,506.63550000000004,Yangon
17,765-26-6951,A,Normal,Male,Sports and travel,72.61,6,2019-01-01,10:39:00,Credit card,6.9,21.783,457.443,Yangon
18,329-62-1586,A,Normal,Male,Food and beverages,54.67,3,2019-01-21,18:00:00,Credit card,8.6,8.2005,172.2105,Yangon
23,636-48-8204,A,Normal,Male,Electronic accessories,34.56,5,2019-02-17,11:15:00,Ewallet,9.9,8.64,181.44,Yangon
24,549-59-1358,A,Normal,Male,Sports and travel,88.63,3,2019-03-02,17:36:00,Ewallet,6.0,13.2945,279.18449999999996,Yangon
25,227-03-5010,A,Normal,Male,Home and lifestyle,52.59,8,2019-03-22,19:20:00,Credit card,8.5,21.036,441.75600000000003,Yangon
